Rk,Grade,Date,Player,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,2P2,3P/10,3P,3P2
1,So,2-Jul,Zvonimir Ivisic *,Arkansas,SEC,46.1,1.6,7.4,106.3,21.4,57.9,59.9,4.8,20.1,8.1,19.5,10.6,2,26.1,58-97,0.598,10.7,47-125,0.376
2,So,5-Jun,Zion Stanford *,Temple,Amer,64.9,2,0.9,105.2,24.6,47.5,51.9,3.9,14.5,15.3,14.2,2.7,1.3,41.5,117-248,0.472,4.1,19-58,0.328
3,Sr,2-Jun,Zion Russell *,Niagara,MAAC,53,0.5,-3.8,98.8,19.7,52.8,56.4,2.8,10.3,17.2,23.8,1.3,1.9,24.7,55-105,0.524,5.1,19-53,0.358
4,Jr,3-Jun,Zion Bethea,Pepperdine,WCC,45.8,0,-2.3,92.1,17.9,45.4,47,1.8,13.2,4.8,11.9,0.3,2.9,23.5,23-83,0.277,10.5,44-113,0.389
5,Sr,4-Jun,Zhuric Phelps,Texas A&M,SEC,67.2,1.9,3.1,92.8,29.6,40.3,44.7,4.2,16,17.9,20.5,0.6,3.7,32.2,123-300,0.41,8.6,35-135,0.259
6,Sr,4-Jun,Zeke Mayo,Kansas,B12,78.3,3.1,5.8,107.3,22.4,56.5,59.5,1.1,14.9,16.6,20.4,0.3,1.3,22.3,79-165,0.479,11.3,89-211,0.422
7,Sr,11-May,Zawdie Jackson *,New Mexico St.,CUSA,69.9,2.1,1.6,108.1,21.1,45.5,51.6,2.2,6.7,21.5,14.4,0,1.7,43.8,65-159,0.409,6.2,30-83,0.361
8,Sr,4-Jun,Zavian McLean,Florida Gulf Coast,ASun,69.1,2.7,2.4,121.8,18.8,61.3,62,5.2,11.4,11,12.4,0.9,2.1,31.1,108-166,0.651,6.1,33-91,0.363
9,Sr,7-Jun,Zarique Nutter *,Georgia St.,SB,59.8,2.1,-0.9,103.3,28.7,51,53.3,4.8,7.9,17,15.9,1.4,1.3,55,143-280,0.511,2,27-Sep,0.333
10,Sr,4-Jun,Zaire Williams *,Wagner,NEC,66.8,0.4,-1.7,93.5,23.3,43.5,46.9,2,15,15.4,16.2,0.4,3.4,27,43-112,0.384,11.8,40-125,0.32
11,Jr,1-Jun,Zae Blake *,Wagner,NEC,49.2,1.3,1.6,104.2,26.4,50.5,54,4,10.4,21.9,16.9,0,1.7,22.7,49-114,0.43,10.7,34-84,0.405
12,Jr,7-Jun,Zachary Davis *,South Carolina,SEC,65.6,0.8,0.9,93.2,20.2,44.3,49.2,4.7,16.1,14,22,0.3,2.5,36.4,59-127,0.465,7.1,28-101,0.277
13,Jr,6-Jun,Zach Reinhart,Arkansas Pine Bluff,SWAC,50.3,-1,-7.3,88.5,12.4,46.4,48.5,1.3,8.4,10.3,24.2,1.2,1.3,12.5,17-Apr,0.235,8.9,32-95,0.337
14,Jr,2-Jun,Zach Bell *,Jacksonville,ASun,69.1,1,0,109.1,16.2,53,55,4.2,8.2,10.8,18.1,1.5,3.3,12,79-142,0.556,6.3,30-92,0.326
15,Sr,1-Jun,Yuri Covington,UMass Lowell,AE,72.9,0.9,-5.1,102.1,18.9,49.6,54.2,3,10.7,7.8,16.8,0.6,0.9,26.6,57-111,0.514,9.3,44-137,0.321
16,Sr,9-Jun,Yaxel Lendeborg *,UAB,Amer,84.2,5,11.1,123.7,25.6,54.8,59.2,11.6,25.1,22.9,14.2,5.1,2.8,44.9,209-381,0.549,3.2,25-69,0.362
17,Jr,8-Jun,Yaphet Moundi *,Iona,MAAC,48.2,1.1,0.5,102.3,26,56.5,56,15.6,26.6,9.7,21.2,4.5,3.2,65.4,121-214,0.565,0,0-0,0
18,Jr,6-Jun,Yann Farell *,East Carolina,Amer,44.3,0.8,-1.6,115.5,12.8,51.8,52.4,4,10.7,7.2,9.1,1,1.7,6.5,13-28,0.464,11.6,39-110,0.355
19,Sr,5-Jun,Yame Butler *,Drexel,CAA,77.5,2.4,1,112.9,22.5,54.8,57.6,5.3,11.6,11.1,15.1,1,1.7,39.1,114-208,0.548,6.9,41-112,0.366
20,So,2-Jun,Xzayvier Brown *,Saint Joseph's,A10,82.1,3.9,4.2,111.9,25.5,49.5,56.6,2.2,13.6,24.4,16.9,0.3,2.4,39.4,113-239,0.473,9.1,63-180,0.35
21,Jr,2-Jun,Xavier Brown *,James Madison,SB,73.4,1.6,-0.3,104.9,20.7,45.2,47.7,1.2,12.3,18,11.4,0.2,2.9,21.4,54-131,0.412,11.7,54-168,0.321
22,Sr,2-Jun,Xavier Bell,Wichita St.,Amer,70.1,2.3,-0.3,103.8,26.3,44.3,52.5,2.1,8.5,8.7,14.6,1.2,1.8,42.9,121-284,0.426,6.2,33-101,0.327
23,Jr,3-Jun,Xaivian Lee *,Princeton,Ivy,83.6,4,5.9,113.4,29.3,50.9,54.7,3.4,20.2,37.3,13.6,1.4,2.2,28.3,116-242,0.479,9.9,58-157,0.369
24,Sr,3-Jun,Wilson Dubinsky *,South Carolina St.,MEAC,47.4,1,2.5,115.2,17.3,55.6,57.4,3.9,14,12,14.8,0,2.7,28.8,24-57,0.421,11.1,47-113,0.416
25,Jr,2-Jun,Will McClendon *,San Jose St.,MWC,56,2.4,0.3,109.1,20.5,44.8,50.3,1.7,9.3,18.4,8.6,0.1,1.4,31,41-114,0.36,10.3,45-128,0.352
26,Sr,3-Jun,Will Johnston *,Loyola Marymount,WCC,72.3,2.5,0.8,111.8,21.6,51.8,56,1.2,6.9,21,11.8,0.1,1.4,24.3,55-117,0.47,11.9,67-183,0.366
27,Sr,10-Jun,Wilhelm Breidenbach *,Washington,B10,40.7,1.1,0.2,114.6,12.9,61.5,62.9,5.5,11.7,4.2,17.4,0.9,1.5,25,29-43,0.674,6.3,20-53,0.377
